Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Harry;Lumos Maxima...;['lumos', 'maxima'];['lumos', 'maximum'];['lumos', 'maximum']
Harry;Lumos Maxima...;['lumos', 'maxima'];['lumos', 'maximum'];['lumos', 'maximum']
Harry;Lumos Maxima...;['lumos', 'maxima'];['lumos', 'maximum'];['lumos', 'maximum']
Harry;Lumos... MAXIMA!;['lumos', 'maxima'];['lumos', 'maximum'];['lumos', 'maximum']
Aunt Petunia;Harry! Harry!;['harry', 'harry'];['harry', 'harry'];['harry', 'harry']
Aunt Petunia;Harry!! Open the door.;['harry', 'open', 'the', 'door'];['harry', 'open', 'the', 'door'];['harry', 'open', 'door']
Aunt Petunia;Marge! How lovely to see;['marge', 'how', 'lovely', 'to', 'see'];['marge', 'how', 'lovely', 'to', 'see'];['marge', 'lovely']
Harry;Uncle Vernon. I need you to sign this form.;['uncle', 'vernon', 'i', 'need', 'you', 'to', 'sign', 'this', 'form'];['uncle', 'vernon', 'i', 'need', 'you', 'to', 'sign', 'this', 'form'];['uncle', 'vernon', 'need', 'sign', 'form']
Uncle Vernon;What is it?;['what', 'is', 'it'];['what', 'is', 'it'];[]
Harry;Nothing. School stuff;['nothing', 'school', 'stuff'];['nothing', 'school', 'stuff'];['nothing', 'school', 'stuff']
Uncle Vernon;Later perhaps. If you behave.;['later', 'perhaps', 'if', 'you', 'behave'];['later', 'perhaps', 'if', 'you', 'behave'];['later', 'perhaps', 'behave']
Harry;I will if she does.;['i', 'will', 'if', 'she', 'does'];['i', 'will', 'if', 'she', 'doe'];['doe']
Aunt Marge;You still here, are you?;['you', 'still', 'here', 'are', 'you'];['you', 'still', 'here', 'are', 'you'];['still']
Harry;Yes.;['yes'];['yes'];[]
Aunt Marge;Don't say 'yes' in that ungrateful way.;['do', 'say', 'in', 'that', 'ungrateful', 'way'];['do', 'say', 'in', 'that', 'ungrateful', 'way'];['say', 'ungrateful', 'way']
Aunt Marge;Damn good of my brother to keep you.;['damn', 'good', 'of', 'my', 'brother', 'to', 'keep', 'you'];['damn', 'good', 'of', 'my', 'brother', 'to', 'keep', 'you'];['damn', 'good', 'brother', 'keep']
