Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Dumbledore;I should've known that you would be here, Professor McGonagall.;['i', 'should', 'known', 'that', 'you', 'would', 'be', 'here', 'professor', 'mcgonagall'];['i', 'should', 'known', 'that', 'you', 'would', 'be', 'here', 'professor', 'mcgonagall'];['known', 'would', 'professor', 'mcgonagall']
Mcgonagall;Good evening, Professor Dumbledore.;['good', 'evening', 'professor', 'dumbledore'];['good', 'evening', 'professor', 'dumbledore'];['good', 'evening', 'professor', 'dumbledore']
Mcgonagall;Are the rumors true, Albus?;['are', 'the', 'rumors', 'true', 'albus'];['are', 'the', 'rumor', 'true', 'albus'];['rumor', 'true', 'albus']
Dumbledore;I'm afraid so, professor.;['i', 'afraid', 'so', 'professor'];['i', 'afraid', 'so', 'professor'];['afraid', 'professor']
Dumbledore;The good and the bad.;['the', 'good', 'and', 'the', 'bad'];['the', 'good', 'and', 'the', 'bad'];['good', 'bad']
Mcgonagall;And the boy?;['and', 'the', 'boy'];['and', 'the', 'boy'];['boy']
Dumbledore;Hagrid is bringing him.;['hagrid', 'is', 'bringing', 'him'];['hagrid', 'is', 'bringing', 'him'];['hagrid', 'bringing']
Mcgonagall;Do you think it wise to trust Hagrid with something as important as this?;['do', 'you', 'think', 'it', 'wise', 'to', 'trust', 'hagrid', 'with', 'something', 'as', 'important', 'as', 'this'];['do', 'you', 'think', 'it', 'wise', 'to', 'trust', 'hagrid', 'with', 'something', 'a', 'important', 'a', 'this'];['think', 'wise', 'trust', 'hagrid', 'something', 'important']
Dumbledore;Ah, Professor, I would trust Hagrid with my life.;['ah', 'professor', 'i', 'would', 'trust', 'hagrid', 'with', 'my', 'life'];['ah', 'professor', 'i', 'would', 'trust', 'hagrid', 'with', 'my', 'life'];['ah', 'professor', 'would', 'trust', 'hagrid', 'life']
Hagrid;Professor Dumbledore, sir.;['professor', 'dumbledore', 'sir'];['professor', 'dumbledore', 'sir'];['professor', 'dumbledore', 'sir']
Hagrid;Professor McGonagall.;['professor', 'mcgonagall'];['professor', 'mcgonagall'];['professor', 'mcgonagall']
Dumbledore;No problems, I trust, Hagrid?;['no', 'problems', 'i', 'trust', 'hagrid'];['no', 'problem', 'i', 'trust', 'hagrid'];['problem', 'trust', 'hagrid']
Hagrid;No, sir.;['no', 'sir'];['no', 'sir'];['sir']
Hagrid;Little tyke fell asleep just as we were flying over Bristol.;['little', 'tyke', 'fell', 'asleep', 'just', 'as', 'we', 'were', 'flying', 'over', 'bristol'];['little', 'tyke', 'fell', 'asleep', 'just', 'a', 'we', 'were', 'flying', 'over', 'bristol'];['little', 'tyke', 'fell', 'asleep', 'flying', 'bristol']
Hagrid;Try not to wake him.;['try', 'not', 'to', 'wake', 'him'];['try', 'not', 'to', 'wake', 'him'];['try', 'wake']
Hagrid;There you go.;['there', 'you', 'go'];['there', 'you', 'go'];[]
Dumbledore;Albus, do you really think it's safe, leaving him with these people?;['albus', 'do', 'you', 'really', 'think', 'it', 'safe', 'leaving', 'him', 'with', 'these', 'people'];['albus', 'do', 'you', 'really', 'think', 'it', 'safe', 'leaving', 'him', 'with', 'these', 'people'];['albus', 'really', 'think', 'safe', 'leaving', 'people']
Mcgonagall;I've watched them all day.;['i', 'watched', 'them', 'all', 'day'];['i', 'watched', 'them', 'all', 'day'];['watched', 'day']
Mcgonagall;They're the worst sort of Muggles, imaginable.;['they', 'the', 'worst', 'sort', 'of', 'muggles', 'imaginable'];['they', 'the', 'worst', 'sort', 'of', 'muggles', 'imaginable'];['worst', 'sort', 'muggles', 'imaginable']
Mcgonagall;They really are...;['they', 'really', 'are'];['they', 'really', 'are'];['really']
Dumbledore;The only family he has.;['the', 'only', 'family', 'he', 'has'];['the', 'only', 'family', 'he', 'ha'];['family']
Mcgonagall;This boy will be famous.;['this', 'boy', 'will', 'be', 'famous'];['this', 'boy', 'will', 'be', 'famous'];['boy', 'famous']
Mcgonagall;There won't be a child in our world who doesn't know his name.;['there', 'wo', 'be', 'a', 'child', 'in', 'our', 'world', 'who', 'does', 'know', 'his', 'name'];['there', 'wo', 'be', 'a', 'child', 'in', 'our', 'world', 'who', 'doe', 'know', 'his', 'name'];['wo', 'child', 'world', 'doe', 'name']
Dumbledore;Exactly.;['exactly'];['exactly'];['exactly']
Dumbledore;He's far better off growing up away from all of that.;['he', 'far', 'better', 'off', 'growing', 'up', 'away', 'from', 'all', 'of', 'that'];['he', 'far', 'better', 'off', 'growing', 'up', 'away', 'from', 'all', 'of', 'that'];['far', 'better', 'growing', 'away']
Dumbledore;Until he's ready.;['until', 'he', 'ready'];['until', 'he', 'ready'];['ready']
Dumbledore;There, there, Hagrid.;['there', 'there', 'hagrid'];['there', 'there', 'hagrid'];['hagrid']
Dumbledore;It's not really goodbye, after all.;['it', 'not', 'really', 'goodbye', 'after', 'all'];['it', 'not', 'really', 'goodbye', 'after', 'all'];['really', 'goodbye']
Dumbledore;Good luck...Harry Potter.;['good', 'luck', 'harry', 'potter'];['good', 'luck', 'harry', 'potter'];['good', 'luck', 'harry', 'potter']
Petunia;Up. Get up!;['up', 'get', 'up'];['up', 'get', 'up'];[]
Petunia;Now!;['now'];['now'];[]
Dudley;Wake up, cousin!;['wake', 'up', 'cousin'];['wake', 'up', 'cousin'];['wake', 'cousin']
Dudley;We're going to the zoo!;['we', 'going', 'to', 'the', 'zoo'];['we', 'going', 'to', 'the', 'zoo'];['going', 'zoo']
Petunia;Here he comes, the birthday boy.;['here', 'he', 'comes', 'the', 'birthday', 'boy'];['here', 'he', 'come', 'the', 'birthday', 'boy'];['birthday', 'boy']
Vernon;Happy birthday, son.;['happy', 'birthday', 'son'];['happy', 'birthday', 'son'];['happy', 'birthday', 'son']
Petunia;Why don't you just cook the breakfast, and try not to burn anything.;['why', 'do', 'you', 'just', 'cook', 'the', 'breakfast', 'and', 'try', 'not', 'to', 'burn', 'anything'];['why', 'do', 'you', 'just', 'cook', 'the', 'breakfast', 'and', 'try', 'not', 'to', 'burn', 'anything'];['cook', 'breakfast', 'try', 'burn', 'anything']
Harry;Yes, Aunt Petunia.;['yes', 'aunt', 'petunia'];['yes', 'aunt', 'petunia'];['aunt', 'petunia']
Petunia;I want everything to be perfect for my Dudley's special day!;['i', 'want', 'everything', 'to', 'be', 'perfect', 'for', 'my', 'dudley', 'special', 'day'];['i', 'want', 'everything', 'to', 'be', 'perfect', 'for', 'my', 'dudley', 'special', 'day'];['want', 'everything', 'perfect', 'dudley', 'special', 'day']
Vernon;Hurry up! Bring my coffee, boy.;['hurry', 'up', 'bring', 'my', 'coffee', 'boy'];['hurry', 'up', 'bring', 'my', 'coffee', 'boy'];['hurry', 'bring', 'coffee', 'boy']
Harry;Yes, Uncle Vernon.;['yes', 'uncle', 'vernon'];['yes', 'uncle', 'vernon'];['uncle', 'vernon']
Petunia;Aren't they wonderful, darling?;['are', 'they', 'wonderful', 'darling'];['are', 'they', 'wonderful', 'darling'];['wonderful', 'darling']
Dudley;How many are there?;['how', 'many', 'are', 'there'];['how', 'many', 'are', 'there'];['many']
Vernon;36. Counted them myself.;['counted', 'them', 'myself'];['counted', 'them', 'myself'];['counted']
Dudley;36?! But last year... last year I had 37!;['but', 'last', 'year', 'last', 'year', 'i', 'had'];['but', 'last', 'year', 'last', 'year', 'i', 'had'];['last', 'year', 'last', 'year']
Vernon;But some of them are quite a bit bigger than last year's.;['but', 'some', 'of', 'them', 'are', 'quite', 'a', 'bit', 'bigger', 'than', 'last', 'year'];['but', 'some', 'of', 'them', 'are', 'quite', 'a', 'bit', 'bigger', 'than', 'last', 'year'];['quite', 'bit', 'bigger', 'last', 'year']
Dudley;I don't care how big they are!;['i', 'do', 'care', 'how', 'big', 'they', 'are'];['i', 'do', 'care', 'how', 'big', 'they', 'are'];['care', 'big']
Petunia;Oh, now, now, now. ;['oh', 'now', 'now', 'now'];['oh', 'now', 'now', 'now'];['oh']
Petunia;This is what we're going to do...;['this', 'is', 'what', 'we', 'going', 'to', 'do'];['this', 'is', 'what', 'we', 'going', 'to', 'do'];['going']
Petunia;is that when we go out, we're going to buy you two new presents.;['is', 'that', 'when', 'we', 'go', 'out', 'we', 'going', 'to', 'buy', 'you', 'two', 'new', 'presents'];['is', 'that', 'when', 'we', 'go', 'out', 'we', 'going', 'to', 'buy', 'you', 'two', 'new', 'present'];['going', 'buy', 'two', 'new', 'present']
Petunia;How's that, pumpkin?;['how', 'that', 'pumpkin'];['how', 'that', 'pumpkin'];['pumpkin']
Petunia;It should be a lovely day at the zoo.;['it', 'should', 'be', 'a', 'lovely', 'day', 'at', 'the', 'zoo'];['it', 'should', 'be', 'a', 'lovely', 'day', 'at', 'the', 'zoo'];['lovely', 'day', 'zoo']
Petunia;I'm really looking forward to it.;['i', 'really', 'looking', 'forward', 'to', 'it'];['i', 'really', 'looking', 'forward', 'to', 'it'];['really', 'looking', 'forward']
Vernon;I'm warning you now, boy.;['i', 'warning', 'you', 'now', 'boy'];['i', 'warning', 'you', 'now', 'boy'];['warning', 'boy']
Vernon;Any funny business, any at all...;['any', 'funny', 'business', 'any', 'at', 'all'];['any', 'funny', 'business', 'any', 'at', 'all'];['funny', 'business']
Vernon;And you won't have any meals for a week.;['and', 'you', 'wo', 'have', 'any', 'meals', 'for', 'a', 'week'];['and', 'you', 'wo', 'have', 'any', 'meal', 'for', 'a', 'week'];['wo', 'meal', 'week']
Vernon;Get in.;['get', 'in'];['get', 'in'];[]
Dudley;Make it move.;['make', 'it', 'move'];['make', 'it', 'move'];['make', 'move']
Vernon;Move!;['move'];['move'];['move']
Dudley;Move!;['move'];['move'];['move']
Harry;He's asleep!;['he', 'asleep'];['he', 'asleep'];['asleep']
Dudley;He's boring.;['he', 'boring'];['he', 'boring'];['boring']
Harry;Sorry about him.;['sorry', 'about', 'him'];['sorry', 'about', 'him'];['sorry']
Harry;He doesn't understand what it's like, lying there day after day...;['he', 'does', 'understand', 'what', 'it', 'like', 'lying', 'there', 'day', 'after', 'day'];['he', 'doe', 'understand', 'what', 'it', 'like', 'lying', 'there', 'day', 'after', 'day'];['doe', 'understand', 'like', 'lying', 'day', 'day']
Harry;...watching people press their ugly faces in on you.;['watching', 'people', 'press', 'their', 'ugly', 'faces', 'in', 'on', 'you'];['watching', 'people', 'press', 'their', 'ugly', 'face', 'in', 'on', 'you'];['watching', 'people', 'press', 'ugly', 'face']
Harry;Can you hear me?;['can', 'you', 'hear', 'me'];['can', 'you', 'hear', 'me'];['hear']
Harry;It's just, I've never talked to a snake before.;['it', 'just', 'i', 'never', 'talked', 'to', 'a', 'snake', 'before'];['it', 'just', 'i', 'never', 'talked', 'to', 'a', 'snake', 'before'];['never', 'talked', 'snake']
Harry;Do you...?;['do', 'you'];['do', 'you'];[]
Harry;I mean, do you talk to people often?;['i', 'mean', 'do', 'you', 'talk', 'to', 'people', 'often'];['i', 'mean', 'do', 'you', 'talk', 'to', 'people', 'often'];['mean', 'talk', 'people', 'often']
Harry;You're from Burma, aren't you?;['you', 'from', 'burma', 'are', 'you'];['you', 'from', 'burma', 'are', 'you'];['burma']
Harry;Was it nice there?;['was', 'it', 'nice', 'there'];['wa', 'it', 'nice', 'there'];['nice']
Harry;Do you miss your family?;['do', 'you', 'miss', 'your', 'family'];['do', 'you', 'miss', 'your', 'family'];['miss', 'family']
Harry;I see. That's me as well.;['i', 'see', 'that', 'me', 'as', 'well'];['i', 'see', 'that', 'me', 'a', 'well'];['well']
Harry;I never knew my parents either.;['i', 'never', 'knew', 'my', 'parents', 'either'];['i', 'never', 'knew', 'my', 'parent', 'either'];['never', 'knew', 'parent', 'either']
Harry;Mummy, Dad, come here! ;['mummy', 'dad', 'come', 'here'];['mummy', 'dad', 'come', 'here'];['mummy', 'dad']
